product,window,n_obs,slope,intercept,r2,corr,flow_std,fwd_mid_std
HYDROGEL_PACK,25,16753,-0.003674776756650475,-0.07938126834050803,4.383275564179279e-06,-0.002093627369966666,5.369677015950852,9.424964810834815
HYDROGEL_PACK,50,23779,0.05098009844232552,-0.10918686819780812,0.0006114257153149172,0.024727023988237506,6.32481276233558,13.039967017726322
HYDROGEL_PACK,100,27525,0.12179049475522549,0.0803464244593389,0.0031084115055814987,0.05575313000703598,8.196604216752865,17.905155867394683
VELVETFRUIT_EXTRACT,25,20518,0.005160813395855951,0.12560295681339861,8.499418374141587e-05,0.009219229020991376,8.40833261774404,4.706883353441163
VELVETFRUIT_EXTRACT,50,26233,0.03320215517815252,-0.09518797615481724,0.0029352866135989863,0.054178285443514836,10.987133529434571,6.7332605567169255
VELVETFRUIT_EXTRACT,100,28816,0.029327737604453136,0.00030875348301631633,0.0023862160739942517,0.04884891067356711,15.257722276509275,9.160377768858183
VEV_4000,25,9421,0.07194395615444614,0.11350745821329138,0.0012620077746001712,0.03552474876195538,2.35341410593269,4.766083565714061
VEV_4000,50,15549,0.09732827537466086,-0.09546648309420602,0.0013919242613942284,0.03730850119469336,2.571717582439827,6.708949141199019
VEV_4000,100,22213,-0.09902579909297875,-0.057751489985692205,0.0010988264703987172,-0.033148551558080136,3.1310350461540355,9.353447823814427
VEV_5300,25,2846,-0.03242106108732472,-0.1214854025743597,0.0005338048765423098,-0.02310421772192744,1.3489728054917964,1.8929500344208485
VEV_5300,50,5404,0.10391384210396096,0.523515397751118,0.0040998066431583435,0.06402973249325963,1.5320842990251426,2.486419351441391
VEV_5300,100,9818,0.039916424268907354,0.5587787849023651,0.00044937598416394664,0.02119849013878188,1.9422344741841906,3.6571970359059374
VEV_5400,25,5228,0.0011113865075381023,0.017667660584508832,3.0917334475910607e-06,0.001758332575905835,1.4560845572207721,0.9203450774356932
VEV_5400,50,9648,0.0034628572527683832,-0.00905830327338206,2.4023548223617297e-05,0.004901382276835763,1.813453972962157,1.2812165809861535
VEV_5400,100,16375,-0.04276976458750014,-0.275150875770535,0.003759292159410621,-0.061313066791758394,2.4330576874356753,1.6972125187092924
VEV_5500,25,6044,-0.0020165790063141876,0.0034350821934298736,3.603100561999639e-05,-0.00600258324556866,1.5411670647609692,0.5177579420184116
VEV_5500,50,10883,-0.001647539918180533,-0.017217147163677633,2.5045683334168345e-05,-0.005004566248350278,1.9582837641578807,0.6446813794579072
VEV_5500,100,18186,-0.002024027477460892,-0.03195531512698532,4.1408913190821295e-05,-0.006434975772358933,2.6320054611785704,0.827858808285721
VEV_6000,25,6408,0.0,0.0,,0.0,1.5844486732699594,0.0
VEV_6000,50,11508,0.0,0.0,,0.0,2.0451792306698313,0.0
VEV_6000,100,19053,0.0,0.0,,0.0,2.7759138405108956,0.0
VEV_6500,25,6408,0.0,0.0,,0.0,1.5844486732699594,0.0
VEV_6500,50,11508,0.0,0.0,,0.0,2.0451792306698313,0.0
VEV_6500,100,19053,0.0,0.0,,0.0,2.7759138405108956,0.0
